Municipality,Latitude (generated),Longitude (generated)
Schiermonnikoog,"53,4796","6,1947"
Schiedam,"51,9309","4,3859"
Scherpenzeel,"52,0903","5,5063"
Schagen,"52,7859","4,7499"
s-Gravenhage,"52,0717","4,284"
Rucphen,"51,5205","4,5696"
Rozendaal,"52,0419","5,9619"
Rotterdam,"51,9183","4,4556"
Roosendaal,"51,5103","4,4251"
Roermond,"51,2083","6,0172"
Roerdalen,"51,1457","6,0351"
Rijswijk,"52,0373","4,3224"
Rijssen-Holten,"52,2858","6,4399"
Ridderkerk,"51,8721","4,5918"
Rhenen,"51,9808","5,5558"
Rheden,"52,0311","6,0609"
Reusel-De Mierden,"51,3693","5,1481"
Renswoude,"52,0726","5,5309"
Renkum,"51,9936","5,7924"
Reimerswaal,"51,4478","4,0534"
Raalte,"52,3876","6,3082"
Putten,"52,2472","5,5782"
Purmerend,"52,4998","4,9645"
Pijnacker-Nootdorp,"52,0111","4,4268"
Pekela,"53,0664","6,9656"
Peel en Maas,"51,3302","5,9797"
Papendrecht,"51,8344","4,7045"
Overbetuwe,"51,9219","5,7862"
Oudewater,"52,0244","4,8555"
Ouder-Amstel,"52,2948","4,9167"
Oude IJsselstreek,"51,9025","6,3918"
Oss,"51,7793","5,5316"
Opsterland,"53,0467","6,095"
Opmeer,"52,7137","4,9412"
Oostzaan,"52,4511","4,8695"
Ooststellingwerf,"53,0001","6,3006"
Oosterhout,"51,6324","4,8629"
Oost Gelre,"52,0154","6,5608"
Ommen,"52,5104","6,4522"
Olst-Wijhe,"52,3758","6,1534"
Oldenzaal,"52,3078","6,9084"
Oldebroek,"52,4572","5,9523"
Oldambt,"53,1888","7,0626"
Oisterwijk,"51,5569","5,2016"
Oirschot,"51,4889","5,2998"
Oegstgeest,"52,1833","4,4721"
Nunspeet,"52,3377","5,7953"
"Nuenen, Gerwen en Nederwetten","51,4861","5,5438"
Noordwijk,"52,2682","4,4613"
Noordoostpolder,"52,7256","5,7659"
Noordenveld,"53,0953","6,4208"
Noord-Beveland,"51,564","3,7841"
Noardeast-Fryslân,"53,3318","6,0218"
Nissewaard,"51,8278","4,2805"
Nijmegen,"51,8432","5,8381"
Nijkerk,"52,216","5,4758"
Nieuwkoop,"52,1705","4,7779"
Nieuwegein,"52,0302","5,0931"
Nederweert,"51,295","5,7508"
Neder-Betuwe,"51,9215","5,6158"
Mook en Middelaar,"51,7481","5,9065"
Montfoort,"52,046","4,9507"
Montferland,"51,9243","6,2053"
Molenlanden,"51,8846","4,845"
Moerdijk,"51,6606","4,534"
Mill en Sint Hubert,"51,6787","5,7867"
Midden-Groningen,"53,1955","6,8073"
Midden-Drenthe,"52,8699","6,5697"
Midden-Delfland,"51,9706","4,323"
Middelburg,"51,5016","3,6422"
Meppel,"52,7205","6,1783"
Meierijstad,"51,5923","5,5063"
Meerssen,"50,9047","5,7352"
Medemblik,"52,7199","5,1306"
Maastricht,"50,858","5,697"
Maassluis,"51,9272","4,2454"
Maasgouw,"51,1587","5,8944"
Maasdriel,"51,7851","5,3168"
Losser,"52,3002","6,9881"
Loppersum,"53,3466","6,7137"
Lopik,"51,9825","4,9417"
Loon op Zand,"51,6476","5,047"
Lochem,"52,1708","6,3434"
Lisse,"52,2537","4,5422"
Lingewaard,"51,9071","5,9353"
Leusden,"52,1273","5,4203"
Leudal,"51,2339","5,8958"
Lelystad,"52,4908","5,4974"
Leidschendam-Voorburg,"52,093","4,4318"
Leiderdorp,"52,1571","4,5434"
Leiden,"52,1512","4,4814"
Leeuwarden,"53,1699","5,7971"
Laren,"52,2421","5,2163"
Lansingerland,"52,0111","4,5075"
Langedijk,"52,6901","4,7786"
Landsmeer,"52,4509","4,9215"
Landgraaf,"50,9029","6,0293"
Landerd,"51,7155","5,6485"
Laarbeek,"51,5329","5,6123"
Krimpenerwaard,"51,9559","4,7574"
Krimpen aan den IJssel,"51,9172","4,6081"
Koggenland,"52,6478","4,9528"
Kerkrade,"50,8746","6,0594"
Katwijk,"52,1887","4,419"
Kapelle,"51,4882","3,9651"
Kampen,"52,5488","5,9307"
Kaag en Braassem,"52,1928","4,6215"
IJsselstein,"52,026","5,0291"
Hulst,"51,3248","4,0819"
Huizen,"52,2915","5,2309"
Houten,"52,0076","5,1777"
Horst aan de Maas,"51,4529","6,0347"
Hoorn,"52,6545","5,0757"
Hoogeveen,"52,7274","6,4925"
Hollands Kroon,"52,8197","4,967"
Hof van Twente,"52,2349","6,5672"
Hoeksche Waard,"51,7707","4,456"
Hilversum,"52,2315","5,1737"
Hilvarenbeek,"51,487","5,1468"
Hillegom,"52,2948","4,5731"
Heusden,"51,6869","5,1656"
Heumen,"51,7811","5,8248"
Het Hogeland,"53,3754","6,529"
Hengelo,"52,2524","6,7956"
Hendrik-Ido-Ambacht,"51,8456","4,6346"
Helmond,"51,4733","5,6677"
Hellevoetsluis,"51,8505","4,1339"
Hellendoorn,"52,3873","6,4515"
Heiloo,"52,6017","4,705"
Heeze-Leende,"51,3594","5,5789"
Heerlen,"50,8774","5,9816"
Heerhugowaard,"52,6783","4,852"
Heerenveen,"52,9986","5,9228"
Heerde,"52,4053","6,0407"
Heemstede,"52,3429","4,6182"
Heemskerk,"52,509","4,6432"
Hattem,"52,4771","6,061"
Harlingen,"53,1767","5,4462"
Hardinxveld-Giessendam,"51,8389","4,8245"
Harderwijk,"52,3404","5,6544"
Hardenberg,"52,5701","6,6329"
Halderberge,"51,5889","4,5137"
Haarlemmermeer,"52,3007","4,6989"
Haarlem,"52,3839","4,6436"
Haaren,"51,6298","5,2071"
Haaksbergen,"52,1623","6,7736"
Gulpen-Wittem,"50,7996","5,8904"
Groningen,"53,2215","6,5582"
Grave,"51,7463","5,745"
Gouda,"52,0179","4,7109"
Gorinchem,"51,8411","4,9805"
Gooise Meren,"52,2977","5,1513"
Goirle,"51,5069","5,0357"
Goes,"51,5151","3,855"
Goeree-Overflakkee,"51,7519","4,1231"
Gilze en Rijen,"51,5632","4,9128"
Gennep,"51,6954","5,9946"
Gemert-Bakel,"51,5533","5,7511"
Geldrop-Mierlo,"51,4318","5,5919"
Geertruidenberg,"51,6968","4,8778"
Etten-Leur,"51,5762","4,6432"
Ermelo,"52,2842","5,6607"
Epe,"52,3278","5,9634"
Enschede,"52,2233","6,8705"
Enkhuizen,"52,711","5,2762"
Emmen,"52,7529","6,9525"
Elburg,"52,4144","5,8426"
Eindhoven,"51,4485","5,4502"
Eijsden-Margraten,"50,8051","5,7683"
Eersel,"51,3941","5,3411"
Eemnes,"52,2503","5,2774"
Ede,"52,072","5,7458"
Edam-Volendam,"52,5483","5,0137"
Echt-Susteren,"51,0792","5,8982"
Duiven,"51,948","6,0239"
Druten,"51,8686","5,6119"
Dronten,"52,4895","5,7225"
Drimmelen,"51,6758","4,7655"
Drechterland,"52,6637","5,1709"
Dordrecht,"51,772","4,6855"
Dongen,"51,6437","4,9582"
Doetinchem,"51,9586","6,2815"
Doesburg,"52,0189","6,152"
Dinkelland,"52,3716","6,9151"
Diemen,"52,3347","4,9836"
Deventer,"52,27","6,238"
Deurne,"51,4289","5,8272"
Den Helder,"52,9224","4,7569"
Delfzijl,"53,3297","6,9059"
Delft,"51,9999","4,3624"
De Wolden,"52,7057","6,3448"
De Ronde Venen,"52,2327","4,9212"
De Fryske Marren,"52,931","5,7814"
De Bilt,"52,1419","5,1722"
Dantumadiel,"53,277","5,9686"
Dalfsen,"52,5121","6,2561"
Culemborg,"51,9482","5,2065"
Cuijk,"51,7148","5,863"
Cranendonck,"51,2825","5,5819"
Coevorden,"52,7529","6,7223"
Castricum,"52,5597","4,6899"
Capelle aan den IJssel,"51,9366","4,5886"
Buren,"51,9293","5,4201"
Bunschoten,"52,2404","5,3564"
Bunnik,"52,0389","5,2206"
Brunssum,"50,944","5,9749"
Brummen,"52,1109","6,1258"
Bronckhorst,"52,0532","6,2698"
Brielle,"51,8895","4,1897"
Breda,"51,5603","4,7812"
Boxtel,"51,589","5,3159"
Boxmeer,"51,6339","5,9612"
Borsele,"51,4442","3,8212"
Borne,"52,3124","6,7463"
Borger-Odoorn,"52,8991","6,8821"
Boekel,"51,6013","5,7007"
Bodegraven-Reeuwijk,"52,068","4,7626"
Bloemendaal,"52,3738","4,5915"
Blaricum,"52,2797","5,2477"
Bladel,"51,3701","5,2345"
Beverwijk,"52,479","4,6725"
Beuningen,"51,8639","5,7476"
Best,"51,5105","5,3988"
Bernheze,"51,6841","5,5217"
Berkelland,"52,1021","6,6184"
Bergen op Zoom,"51,5052","4,286"
Bergen (NH.),"52,6653","4,6886"
Bergen (L.),"51,5882","6,0801"
Bergeijk,"51,3226","5,3734"
Berg en Dal,"51,8118","5,9176"
Beesel,"51,2692","6,0728"
Beemster,"52,5623","4,9197"
Beekdaelen,"50,9371","5,8974"
Beek,"50,9295","5,8127"
Barneveld,"52,1713","5,6453"
Barendrecht,"51,8517","4,5298"
Baarn,"52,1986","5,2571"
Baarle-Nassau,"51,4374","4,8731"
Asten,"51,3871","5,7912"
Assen,"52,9974","6,5502"
Arnhem,"52,0054","5,8765"
Appingedam,"53,3192","6,844"
Apeldoorn,"52,1801","5,9304"
Amsterdam,"52,3742","4,8492"
Amstelveen,"52,2864","4,8531"
Amersfoort,"52,1639","5,4092"
Ameland,"53,4468","5,7378"
Altena,"51,766","4,9542"
Alphen-Chaam,"51,5074","4,8717"
Alphen aan den Rijn,"52,1113","4,6399"
Almere,"52,3713","5,2199"
Almelo,"52,3447","6,6578"
Alkmaar,"52,601","4,8171"
Albrandswaard,"51,8524","4,4352"
Alblasserdam,"51,86","4,6663"
Achtkarspelen,"53,2074","6,1506"
Aalten,"51,914","6,5777"
Aalsmeer,"52,2611","4,7596"
Aa en Hunze,"52,9818","6,7314"
's-Hertogenbosch,"51,7143","5,3564"
