Reusel-De Mierden,2
Rheden,2
Rhenen,4
Ridderkerk,1
Rijssen-Holten,4
Rijswijk,1
Roerdalen,3
Roermond,1
Roosendaal,1
Rotterdam,0
Rozendaal,2
Rucphen,2
Schagen,2
Scherpenzeel,4
Schiedam,1
Schiermonnikoog,3
Schouwen-Duiveland,2
's-Hertogenbosch,1
Simpelveld,2
Sint Anthonis,2
Sint-Michielsgestel,2
Sittard-Geleen,1
Sliedrecht,4
Sluis,3
Smallingerland,2
Soest,2
Someren,2
Son en Breugel,2
Stadskanaal,2
Staphorst,4
Stede Broec,2
Steenbergen,2
Steenwijkerland,2
Stein,3
Stichtse Vecht,2
Súdwest-Fryslân,2
Terneuzen,2
Terschelling,3
Texel,3
Teylingen,2
Tholen,4
Tiel,4
Tilburg,1
Tubbergen,2
Twenterand,2
Tynaarlo,2
Tytsjerksteradiel,2
Uden,1
Uitgeest,2
Uithoorn,2
Urk,4
Utrecht,0
Utrechtse Heuvelrug,2
Vaals,3
Valkenburg aan de Geul,3
Valkenswaard,2
Veendam,2
Veenendaal,4
Veere,2
Veldhoven,2
Velsen,1
Venlo,1
Venray,2
Vijfheerenlanden,4
Vlaardingen,1
Vlieland,3
Vlissingen,1
Voerendaal,3
Voorschoten,2
Voorst,2
Vught,2
Waadhoeke,2
Waalre,2
Waalwijk,2
Waddinxveen,4
Wageningen,1
Wassenaar,2
Waterland,2
Weert,2
Weesp,1
West Betuwe,4
West Maas en Waal,2
Westerkwartier,2
Westerveld,3
Westervoort,2
Westerwolde,3
Westland,1
Weststellingwerf,2
Westvoorne,2
Wierden,2
Wijchen,2
Wijdemeren,2
Wijk bij Duurstede,2
Winterswijk,2
Woensdrecht,2
Woerden,4
Wormerland,2
Woudenberg,4
Zaanstad,1
Zaltbommel,4
Zandvoort,2
Zeewolde,4
Zeist,1
Zevenaar,2
Zoetermeer,1
Zoeterwoude,2
Zuidplas,4
Zundert,3
Zutphen,2
Zwartewaterland,4
Zwijndrecht,4
Zwolle,1
